t,net_profit,total_reward,total_revenue,total_waiting_cost,total_travel_cost,total_trips,total_requests,total_exit_cost,reward_period_0,profit_period_0,reward_period_1,profit_period_1,reward_period_2,profit_period_2,reward_period_3,profit_period_3,reward_period_4,profit_period_4,reward_period_5,profit_period_5,reward_period_6,profit_period_6,reward_period_7,profit_period_7
2007.375,946.2880000000014,-10237.79709878712,2552.569999999998,9731.031056531958,2534.6646492541686,414,10551,524.671393000956,-1820.2264164178828,34.19,-1328.5812974796993,18.168,-1267.5235302464662,25.818,-948.5309053932951,109.45,-1026.302278981836,117.97600000000004,-1070.1072924462173,149.674,-1059.6543241684647,266.44199999999984,-1716.8710536532285,224.56999999999985
2055.387777777778,739.5460000000012,-176.32979651469174,2006.5200000000013,582.872741465886,1158.8755942462215,302,1731,441.1014608025831,-97.17774211106041,20.147999999999996,-78.2095833333321,1.556,-70.0279198742293,15.370000000000001,73.12769929350002,95.76800000000001,31.651266480491742,148.44199999999998,190.83874946354842,206.8779999999999,-135.11286384843652,155.83599999999998,-91.4194025851736,95.54800000000004
2175.339722222222,1186.9560000000038,-269.80824912266496,3220.110000000002,947.1731695239007,1916.280600348564,490,2786,626.4644792502004,-221.58884152015523,26.381999999999994,-120.28374999999842,1.556,-103.03869106319063,50.346000000000004,160.9598372997419,167.92400000000004,25.628656176821792,212.64999999999995,263.82260408194776,304.9019999999998,-222.6102901978903,215.78399999999988,-52.69777389994143,207.41199999999995
2223.3416666666667,2411.23,-1180.8101966776503,6627.98,2141.504582339659,4429.575759587242,911,6027,1237.7098547507533,-1166.5279943509368,114.39400000000005,-509.38285617242263,33.12800000000001,-172.84757043410244,124.81200000000001,550.5674110491886,437.6419999999999,212.8934747180598,461.5419999999998,260.8776299209815,478.12399999999957,-531.5852405154822,289.4399999999997,175.19494910706166,472.1479999999997
2343.3925,2773.7979999999916,-1501.566055760377,7623.209999999997,2452.078470748611,5215.612356646554,1086,7184,1457.08522836524,-1340.1812662496552,123.71600000000004,-604.2602427517946,40.102000000000004,-218.99071864558448,143.41,531.8361616753737,492.11599999999964,135.57000494942423,511.37599999999964,397.4884130992461,623.1040000000006,-572.7710993022057,318.9999999999996,169.7426914648152,520.9739999999997
2391.3977777777777,4153.801999999967,-1294.4180206139863,11660.919999999998,3613.0936203329275,7192.715843760858,1651,9736,2149.5285565202225,-1776.4779625604863,168.86999999999998,-851.480020157409,72.75399999999999,-203.6609101905533,230.81599999999978,580.6833275455483,599.6619999999999,449.0665667256288,772.2600000000002,830.9807774708728,1032.9040000000027,-580.7958732458962,604.5039999999998,257.26607379830267,672.0320000000007
2511.3441666666668,5203.3599999999415,-402.4336715300502,14807.26999999998,4320.610010348961,8218.065201247196,2047,11368,2671.028459933907,-1937.7011849975158,191.54199999999997,-951.1702924471529,91.566,-155.7593506178328,289.9739999999997,675.6107306421945,703.5140000000005,840.0544719880226,991.4240000000012,1189.8112599154267,1306.2160000000033,-429.3936862562012,809.6640000000006,366.11438024300054,819.4600000000015
2559.364722222222,6935.507999999876,-537.9043511443225,19205.360000000037,5757.35103320527,10276.390528273028,2911,14985,3709.5227896660326,-2421.8171230059243,212.01999999999992,-1201.2785782067872,109.638,-193.01050082646015,433.7359999999995,766.0263167609957,907.5180000000023,1052.6294889385838,1361.4880000000044,1528.3012805936378,1742.9380000000067,-480.083639758693,1077.3100000000045,411.32840436031665,1090.8600000000044
2679.3352777777777,8251.941999999837,-100.7137028438469,22538.36000000003,6570.373378527291,11469.37512269284,3585,17312,4599.325201623709,-2768.430226953159,232.1679999999999,-1348.073591990154,114.53800000000001,-134.8546368974089,561.1680000000002,798.1950407196206,1035.086000000004,1431.6790286505795,1695.2360000000072,1793.6738634758851,2064.2380000000067,-333.15910914683377,1292.1420000000066,460.25592929761694,1257.3660000000057
2727.349711039542,10720.012000000128,-926.7763702134531,28751.87999999999,8219.222012092341,15246.60262309641,4780,21517,6212.831735024645,-3309.1873239529905,251.8459999999998,-1685.0143156844772,122.28000000000002,-318.0411233164156,698.0000000000011,871.1329432193163,1345.828000000007,1677.3846087413426,2208.198000000005,2257.7149728776353,2787.287999999993,-541.3233851494452,1772.8140000000126,120.55725305156912,1533.7580000000073
2847.33,12168.126000000311,-691.5761302410909,32488.059999999943,9008.326256525588,17211.515459234524,5482,24085,6959.794414480825,-3634.2840357046975,283.59999999999974,-1939.2791798061394,127.63000000000001,-368.2790399104944,771.9840000000017,922.6708239372432,1483.1400000000083,2025.8546144027518,2496.7020000000007,2625.457761337032,3166.309999999988,-347.59799349774283,2096.564000000014,23.880919000952666,1742.1960000000095
2895.3322222222223,15154.194000000602,-1159.6754451275197,40011.50999999996,10774.170064560318,21845.778714907086,6842,29461,8551.236665659737,-4685.021432471036,358.70199999999943,-2432.442228751157,166.93599999999995,-657.3192398178709,889.2220000000025,1052.720501580902,1834.8200000000102,2475.6213682472853,3136.2939999999917,3102.749882178138,3908.2619999999733,89.9454093483415,2728.365999999991,-105.92970544212558,2131.5920000000087
3015.33,16693.388000000803,-1601.879602015546,43815.59999999994,11803.305977181588,24179.324284855684,7632,32325,9434.849339977649,-5356.321586152261,378.7439999999994,-2732.2061456319716,207.60399999999993,-833.9002515871528,933.7760000000026,1060.2128790381396,1997.3900000000108,2620.9903179947196,3428.0959999999827,3455.289285443882,4322.367999999961,334.8941764105998,3072.2539999999744,-150.8382775315053,2353.155999999997
3063.340277777778,20853.306000001143,950.8379835746724,54918.34999999985,13588.175309789014,28682.31990928858,9353,39242,11697.016797346545,-6283.527273161255,445.9599999999993,-3236.8137340249737,257.52399999999994,-809.813690052708,1159.0380000000036,1910.9045539685796,2714.5460000000003,3227.1944904460815,4192.441999999976,5443.944096524123,5564.587999999946,851.56991893713,3782.2359999999417,-152.62037906233437,2736.971999999985
3183.3580555555554,22470.014000001305,1061.918575427067,59073.08999999978,14497.765215343397,30816.690129128212,10129,41969,12696.716080100021,-6781.092149559903,471.84799999999933,-3527.028171759831,267.07599999999996,-848.3428480169858,1274.2200000000043,2059.309578370352,2986.7459999999905,3487.796793992251,4524.571999999967,5843.628984964031,5931.925999999948,1101.9335225392983,4082.295999999927,-274.28713510216744,2931.3299999999813
3231.4056084198382,26345.516000001753,869.9045729143223,68692.79999999989,16664.99685971963,36175.97279281202,11980,47510,14981.925774552637,-7732.658854177999,616.7199999999999,-4338.3029234509595,312.6999999999999,-954.6354902850258,1570.6600000000064,2378.8748847914876,3600.0499999999793,3866.012758260992,5294.177999999946,6572.051304723791,6798.665999999927,1403.1807660038182,4757.129999999896,-324.6178729517951,3395.4119999999652
3351.3633333333332,28745.83800000204,1624.9571224805577,74663.54999999984,17856.835029445072,38752.86913863427,13121,50879,16428.888709438266,-8202.676876283145,691.3500000000003,-4687.590388808887,338.19799999999975,-1085.993132060071,1674.8840000000073,2680.8982325131715,3982.26799999997,4176.3800050350455,5755.381999999931,7183.393268427687,7438.553999999912,1725.0352402010315,5147.127999999884,-164.48922654428534,3718.073999999956
