t,net_profit,total_reward,total_revenue,total_waiting_cost,total_travel_cost,total_trips,total_requests,total_exit_cost,reward_period_0,profit_period_0,reward_period_1,profit_period_1,reward_period_2,profit_period_2,reward_period_3,profit_period_3,reward_period_4,profit_period_4,reward_period_5,profit_period_5,reward_period_6,profit_period_6,reward_period_7,profit_period_7
2007.375,359.1530153895783,-7785.332532217865,6447.800000000008,11656.17267264241,1522.6782983700061,1025,10551,1054.2815612054255,-2106.570100847524,36.33390546399989,-1383.813454147841,3.0429881551421016,-1090.4124097928348,6.367627224725426,-636.1083722774467,12.81764771052442,-704.8149259842581,35.12814099585405,-135.54943365886484,54.36456822109626,-439.0530127983387,83.04911558034621,-1289.010822710773,128.04902203789015
2055.387777777778,524.0787910214044,861.9612086481275,3420.270000000001,1474.382600373494,463.3015065489705,505,1731,620.6246844294084,-125.83299811502792,13.841972087439686,-42.03579331648443,2.206033366080817,-32.21048105979652,3.2187679299201415,252.14202806374868,37.281833871977604,348.8108528460164,48.95243297607074,209.47109163494505,168.03971017688875,253.23710973024728,205.1414477011737,-1.6206011355220804,45.39659291185308
2175.339722222222,712.9383285475697,1351.7698528333476,5277.149999999996,2211.938152469056,782.5167131008122,791,2786,930.9252815967815,-306.4877937096513,17.676705517734213,-93.55566374770659,5.809474226054663,-12.67702596167316,7.635821916773226,324.1524479994065,54.52554203108378,566.2238457216339,82.59732131231502,437.7387107209052,204.2592927158115,407.30739496269285,266.0050709174803,29.067936847738853,74.42909991031755
2223.3416666666667,1184.2830074083577,3718.0780175847212,11333.07999999999,3648.2318836151785,2113.335282425363,1564,6027,1853.4348163747375,-564.0669396371842,67.4186097828404,-241.71711032513267,8.09321442129284,-6.577584809169338,22.838030378462282,1096.541390610313,164.3590356782867,1379.3828073146267,237.475495712462,973.4147169630265,281.089896077612,599.9776236817019,300.6337583065622,481.1231137865274,102.37496705084016
2343.3925,1380.3884830599955,4257.831832827454,13459.289999999994,4395.996691980782,2511.9956061335756,1866,7184,2293.4658690581978,-677.6845665568193,69.60128393890477,-312.8717915553163,10.723520886659173,-8.501106395637446,23.12845374684106,1134.7588385384176,169.31592092270577,1428.587819635793,243.20294908049274,1481.3156761163364,349.00272760843814,692.4048076342762,394.538975753818,519.8221554103958,120.87465112213584
2391.3977777777777,2151.8131882712173,6107.513922159418,19953.20999999999,6413.358271645089,4051.659265820278,2758,9736,3380.678540375169,-933.7474475108413,108.79191165853038,-476.2003248658439,33.40631709477064,88.73079983671249,45.74291387690059,1264.3527340089738,209.49138302396565,2001.282728600463,314.1791228324633,2467.61227770079,553.3212708191293,995.7165204593065,678.5385560961413,699.7666339299029,208.34171286932138
2511.3441666666668,2516.9811364772204,7841.600247908683,24284.180000000008,7470.9781100875525,4817.168796791009,3319,11368,4154.4328452127065,-1091.6635651684169,130.51494102178543,-636.3169062922307,34.85731766979447,167.40115330135538,54.92086059491133,1445.4509546283493,238.95961928899692,2482.511396158399,424.99739046255576,3212.1657656010393,647.33422468124,1350.9237930106167,725.2520631661204,911.127656669595,260.14471959182197
2559.364722222222,3506.415634990957,7964.284308096661,31634.540000000095,10201.671828682054,7500.910235856585,4730,14985,5967.673627364661,-1692.7921169589065,174.5222209533257,-1080.8129796230355,47.85059834212391,135.7061888933556,117.65721306459938,1481.4827715093584,325.04544847152613,2815.4347501922193,532.9706883736694,3876.8502322832974,964.2124067173934,1703.9720705631603,925.7701800118442,724.4433912372286,418.3868790564722
2679.3352777777777,4152.264705901563,8353.792869067265,36281.380000000085,11967.402138975229,8741.298461456072,5639,17312,7218.8865305014215,-2240.9446049680882,204.72650092440102,-1495.3607564989438,72.26540157141056,189.96662049216877,177.8706675470241,1512.869045849412,377.6268192027142,3200.2152149597086,668.061813899139,4473.429427327847,1151.6168330881662,2003.5528364574866,1006.7467105033711,710.0650854476532,493.3499591653332
2727.3399888173194,5834.389562997173,9301.334614681575,45968.75000000032,14899.201950787612,11645.566371958186,7442,21517,10122.647062572636,-3028.7426791485805,237.2516710292554,-1850.618124547044,93.64209170792277,176.72850076673228,256.67588390133227,1787.4191715520194,496.7844177633001,3849.7098021569645,885.1409876382447,5161.426150332481,1627.5592035561,2368.9563964682548,1492.3034874308642,836.4553971006577,745.0318199701406
